zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5199;5199;0
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;3009;3009;0
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;Estrella Damm;Estrella Damm Cerveza;500 ml;2639;2639;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3589;3589;0
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5109;5109;0
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4579;2976.35;35
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3799;2659.3;30
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3789;2841.75;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4369;3713.65;15
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3039;2431.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4479;3359.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3719;2789.25;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4409;3306.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3199;3199;0
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3719;2975.2;20
Nunez;Miller;Cerveza Miller;473 ml;3949;2171.95;45
Nunez;Corona;Corona Cerveza;473 ml;5149;3861.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7749;5811.75;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5619;4214.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;5796.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4089;2453.4;40
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3729;3729;0
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4569;3198.3;30
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3199;2239.3;30
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3519;3519;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6879;4127.4;40
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3689;2766.75;25
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5709;4281.75;25
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3809;3237.65;15
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4499;4499;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;2155.3;30
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Imperial;Imperial Cerveza Ligera Golden;473 ml;3599;3599;0
Nunez;Miller;Miller Cerveza Rubia;600 ml;6469;3557.95;45
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2379;1665.3;30
Nunez;Andes;Cerveza Andes Origen Rubia 710 cc;710 ml;5089;5089;0
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5549;4161.75;25
Nunez;Salta Cautiva;Salta Cerveza Session Ipa;473 ml;3579;2863.2;20
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7769;5826.75;25
Nunez;Imperial;Imperial Cerveza Extra Lager;473 ml;3549;3549;0
Nunez;Andes Origen;Cerveza Andes Origen Oro 473 cc;473 ml;3499;2624.25;25
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6849;6849;0
