zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5179;5179;0
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5109;5109;0
Nunez;Antares;Ipa Cerveza Antares Especiales Sin Alcohol;473 ml;6779;4745.3;30
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5029;5029;0
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3619;3619;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4609;4609;0
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3809;2666.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6899;5864.15;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3779;2834.25;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4409;3747.65;15
Nunez;Heineken;Heineken Cerveza Original;330 ml;4889;4889;0
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3209;2567.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3739;2804.25;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4609;3456.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3119;3119;0
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3809;3047.2;20
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7819;5864.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5739;4304.25;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;3864.5;50
